Feature,PortSiz,NormPress,ConSize,PressNum,X,Y
Water Hydrant,6,120,6,550-029,504236.37,5450246
Water Hydrant,6,74,6,425+-002,504334.41,5450197.4
Water Hydrant,6,104,6,425+-016,504592.06,5450162.58
Water Hydrant,6,88,6,425+-013,504513.6017,5450219.0389
Water Hydrant,6,84,6,550-077,505319.48,5451426.92
Water Hydrant,6,70,6,550-090,505550.4476,5451467.7309
Water Hydrant,6,68,6,550-137,505766.47,5451358.48
Water Hydrant,6,68,6,550-134,505878.22,5451449.97
Water Hydrant,6,62,6,550-132,506061.2,5451489.33
Water Hydrant,6,60,6,550-153,506107.89,5451391.47
Water Hydrant,6,62,6,550-159,506332.84,5451469.67
Water Hydrant,6,84,6,550-169,506848.75,5451409.93
Water Hydrant,6,72,4,550-170,506734.08,5451404.45
Water Hydrant,6,96,6,410-060,507571.81,5451410.59
Water Hydrant,6,80,6,550-074,505028.5978,5451528.2936
Water Hydrant,6,84,6,550-075,505173.19,5451604.51
Water Hydrant,6,84,6,550-076,505242.98,5451519.84
Water Hydrant,6,74,6,550-091,505483.1688,5451545.1819
Water Hydrant,6,80,6,550-092,505408.2452,5451636.1126
Water Hydrant,6,76,6,550-136,505624.56,5451530.01
Water Hydrant,6,78,6,550-135,505738.95,5451619.04
Water Hydrant,6,70,6,550-131,505994.72,5451568.16
Water Hydrant,6,64,6,550-124,506268.4834,5451542.4425
Water Hydrant,6,88,6,550-171,506697.67,5451594.26
Water Hydrant,6,96,6,410-059,507598.47,5451541.51
Water Hydrant,6,88,6,410-058,507577.7254,5451578.9543
Water Hydrant,6,84,6,410-062,507631.656,5451624.7081
Water Hydrant,6,132,6,350E-001,507689.29,5451547.33
Water Hydrant,6,84,6,550-093,505292.0649,5451777.1143
Water Hydrant,6,84,6,550-094,505520.5366,5451713.8405
Water Hydrant,6,88,6,550-095,505616.8,5451767.29
Water Hydrant,6,80,6,550-102,505854.95,5451739.49
Water Hydrant,6,72,6,550-130,505930.04,5451656.35
Water Hydrant,6,80,6,550-128,506066.03,5451776.12
Water Hydrant,6,74,6,550-127,506135.98,5451691.23
Water Hydrant,6,82,6,550-126,506266.1,5451792.4
Water Hydrant,6,74,6,550-123,506403.4,5451658.34
Water Hydrant,6,84,6,550-122A,506479.17,5451735.97
Water Hydrant,6,98,6,550-120A,506513.1726,5451819.5911
Water Hydrant,6,58,6,410-057,507459.8343,5451765.3605
Water Hydrant,6,76,6,410-061,507546.4213,5451818.1199
Water Hydrant,6,68,6,410-061A,507546.488,5451731.018
Water Hydrant,6,88,6,550-096,505471.68,5451943.42
Water Hydrant,6,98,6,550-099,505685.9537,5451921.8005
Water Hydrant,6,94,6,550-100,505738.3843,5451856.0085
Water Hydrant,6,90,6,550-101,505801.22,5451804.39
Water Hydrant,6,84,6,550-129,506009.69,5451843.68
Water Hydrant,6,92,6,550-122,506348.61,5451860.36
Water Hydrant,6,108,6,550-119,506643.96,5451864.64
Water Hydrant,6,96,6,504E-032,506870.37,5451928
Water Hydrant,6,96,6,504E-030,507045.23,5451918.28
Water Hydrant,6,92,6,504E-029,507181.71,5451892.69
Water Hydrant,6,100,6,504E-045,507288.5407,5451839.4766
Water Hydrant,6,100,6,504E-044,507373.1371,5451911.1624
Water Hydrant,6,110,6,504E-043,507408.6293,5451828.2509
Water Hydrant,6,56,6,410-056,507517.0351,5451838.4781
Water Hydrant,6,74,6,410-063,507594.14,5451895.28
Water Hydrant,6,88,6,550-104,505806.66,5452089.92
Water Hydrant,6,98,6,550-103,505890.1,5451988.65
Water Hydrant,6,100,6,550-112,506069.12,5452055.97
Water Hydrant,6,98,6,550-111,506135,5451976
Water Hydrant,6,102,6,550-110,506250.86,5452065.54
Water Hydrant,6,90,6,504E-024,506785.13,5452041.55
Water Hydrant,6,88,6,504E-025,506841.8,5451994.01
Water Hydrant,6,90,6,504E-023,506775.88,5452088.27
Water Hydrant,6,110,6,350W-050A,505294.7385,5449224.0907
Water Hydrant,6,110,6,350W-051,505340.11,5449282.71
Water Hydrant,6,110,6,350W-050,505346.2861,5449138.1828
Water Hydrant,6,110,6,350W-047,505468.1,5449190.21
Water Hydrant,6,110,6,350W-052,505393.0572,5449221.1199
Water Hydrant,6,106,6,550-118,506485.1989,5451968.6893
Water Hydrant,6,102,6,550-121,506524.3816,5451875.8499
Water Hydrant,6,72,6,504W-016A,506974.0113,5450923.339
Water Hydrant,6,110,6,350W-064,503485.4631,5447280.2056
Water Hydrant,6,86,,504W-026A,506294.9993,5450427.2353
Water Hydrant,6,106,6,504W-011A,507029.757,5450472.7783
Water Hydrant,6,114,6,504W-045A,505788.5732,5450210.9072
Water Hydrant,6,106,6,350E-042A,505763.3851,5449866.1176
Water Hydrant,6,126,6,550-016,503751.3176,5450003.5019
Water Hydrant,6,76,6,550-039A,504242.8013,5450826.9481
Water Hydrant,6,90,,504E-049A,507472.5921,5452790.8053
Water Hydrant,6,100,6,425+-008A,503393.2924,5449468.8783
Water Hydrant,6,110,6,350W-007A,503737.8319,5448209.0952
Water Hydrant,6,110,6,350W-008,503867.3167,5447782.9302
Water Hydrant,6,110,6,350W-066,503720.0679,5447425.5888
Water Hydrant,6,110,6,350W-065,503597.3658,5447347.7403
Water Hydrant,6,110,6,350W-067,503791.8237,5447566.2712
Water Hydrant,6,110,6,350W-068,503744.0368,5447535.9463
Water Hydrant,6,110,6,350W-069,503715.8941,5447648.2851
Water Hydrant,6,80,6,410-065,507645.7156,5451858.7952
Water Hydrant,6,90,6,410-064,507659.5866,5451772.3922
Water Hydrant,6,90,6,410-019,508075.1706,5452797.79
Water Hydrant,6,136,6,425+-026,504093.0671,5449622.3925
Water Hydrant,6,128,6,425+-027,503926.35,5449560.96
Water Hydrant,6,96,6,504W-062,505050.6178,5450554.7902
Water Hydrant,6,88,6,504W-063,504984.3338,5450606.5442
Water Hydrant,6,108,6,504W-064,504946.4358,5450464.0972
Water Hydrant,6,94,6,504W-068,505114.494,5450703.5192
Water Hydrant,6,58,6,504W-069,505198.837,5450896.8019
Water Hydrant,6,82,6,504W-071,504940.855,5450698.3435
Water Hydrant,6,80,6,550-163,506796.654,5451148.5236
Water Hydrant,6,78,6,650-019,506961.41,5452927.36
Water Hydrant,6,104,6,504W-057A,505150.1253,5450437.59
Water Hydrant,6,110,4,350W-009,503979.01,5447623.53
Water Hydrant,6,110,6,350W-043,504133.05,5447662.19
Water Hydrant,6,110,6,350W-003,503241.34,5447761.53
Water Hydrant,6,110,4,350W-010,504246.7576,5447782.9446
Water Hydrant,6,110,6,350W-042,504285.3423,5447758.7241
Water Hydrant,6,110,6,350W-041,504409.48,5447846.1214
Water Hydrant,6,110,6,350W-040,504474.3977,5447895.1992
Water Hydrant,6,110,6,350W-006,503517.68,5447937.11
Water Hydrant,6,110,6,350W-007,503685.49,5448043.73
Water Hydrant,6,110,4,350W-013,504059.6218,5447904.3492
Water Hydrant,6,110,6,350W-012,504141.61,5447946.32
Water Hydrant,6,110,6,350W-020,504415.7075,5448010.5432
Water Hydrant,6,110,6,350W-039,504588.5778,5447981.5288
Water Hydrant,6,110,6,350W-062,503456.4,5448196.05
Water Hydrant,6,110,6,350W-061,503440.32,5448099.67
Water Hydrant,6,110,6,350W-011,504091.09,5448082.36
Water Hydrant,6,110,6,350W-019,504375.6854,5448073.7869
Water Hydrant,6,110,6,350W-021,504507.1405,5448085.8873
Water Hydrant,6,110,6,350W-022,504501.7759,5448183.091
Water Hydrant,6,110,6,350W-038,504700.6038,5448085.8486
Water Hydrant,6,110,6,350W-060,503348.06,5448221.74
Water Hydrant,6,110,6,350W-063,503549.07,5448254.48
Water Hydrant,6,110,6,350W-014,503937.344,5448076.1772
Water Hydrant,6,104,6,425+-015,504796.69,5450242.16
Water Hydrant,6,148,6,504W-059,504966.12,5450210.74
Water Hydrant,6,140,6,504W-056,505101.67,5450231.34
Water Hydrant,6,92,6,350E-051A,505178.19,5450183.07
Water Hydrant,6,130,6,504W-055,505214.08,5450273.02
Water Hydrant,6,102,6,504W-047,505591.04,5450282.68
Water Hydrant,6,104,6,504W-045,505740.39,5450276.66
Water Hydrant,6,118,6,504W-046,505661.88,5450197.61
Water Hydrant,6,106,6,504W-037,505936.02,5450229.67
Water Hydrant,6,112,6,504W-036,505964.12,5450178.59
Water Hydrant,6,96,6,504W-030,506094.76,5450282.03
Water Hydrant,6,116,6,504W-029,506203.016,5450099.8278
Water Hydrant,6,56,6,350E-030,506381.17,5450216.22
Water Hydrant,6,68,6,350E-032,506551.4431,5450229.8101
Water Hydrant,6,70,6,350E-031,506448.29,5450151.15
Water Hydrant,6,124,6,504W-013A,506612.447,5450280.0696
Water Hydrant,6,76,6,350E-034,506829.43,5450296.27
Water Hydrant,6,78,6,350E-033,506757.01,5450243.37
Water Hydrant,6,76,6,350E-034A,506726.77,5450236.7
Water Hydrant,6,64,6,550-160,506517.7173,5451485.569
Water Hydrant,6,62,6,550-158,506395.6108,5451384.9291
Water Hydrant,6,60,6,550-152,506233.1315,5451250.7924
Water Hydrant,6,62,6,550-146,506110.5622,5451164.0746
Water Hydrant,6,84,10,504W-026B,506352.8754,5450474.8472
Water Hydrant,,108,,350W-007B,503820.0841,5448072.7616
Water Hydrant,6,114,6,350W-003A,503200.1148,5447789.6501
Water Hydrant,6,82,6,550-067A,505585.9205,5451355.4894
Water Hydrant,6,,6,350W-080,503188.9882,5447321.7486
Water Hydrant,6,108,6,350W-081,503281.0093,5447313.0305
Water Hydrant,,,,350W-063a,503381.8679,5447223.288
Water Hydrant,6,110,6,350W-035,504441.6,5449020.12
Water Hydrant,6,110,6,350W-031,504363.76,5448970.74
Water Hydrant,6,110,6,350W-034,504546.61,5449075.96
Water Hydrant,6,110,6,350W-053,505024.79,5449131.12
Water Hydrant,6,110,6,350W-049,505162.76,5449125.42
Water Hydrant,6,100,4,425+-008,503457.72,5449521.98
Water Hydrant,6,112,6,350E-082,505477.3376,5449545.8825
Water Hydrant,6,112,6,350E-081,505557.0747,5449540.8871
Water Hydrant,6,112,6,350E-080,505619.1662,5449525.622
Water Hydrant,6,112,6,350E-066,505752.35,5449488.33
Water Hydrant,6,112,6,350E-065,505813.82,5449486.9
Water Hydrant,6,112,6,350E-064,505893.83,5449485.03
Water Hydrant,6,116,6,350E-074,505937.4,5449520.5
Water Hydrant,6,112,6,350E-063,505973.96,5449481.49
Water Hydrant,6,112,6,350E-062,506035.38,5449479.91
Water Hydrant,6,112,6,350E-059,506214.65,5449488.48
Water Hydrant,6,112,6,350E-060,506169.27,5449474.36
Water Hydrant,6,112,6,350E-061,506104.95,5449478.13
Water Hydrant,6,112,6,350E-058,506284.47,5449538.9
Water Hydrant,6,132,6,550-007,503338.02,5449671.49
Water Hydrant,6,102,6,425+-021,503646.7495,5449590.7833
Water Hydrant,6,112,6,350E-086,505326.9181,5449683.4359
Water Hydrant,6,112,6,350E-085,505304.6614,5449638.7752
Water Hydrant,6,114,6,350E-084,505373.08,5449587.66
Water Hydrant,6,112,6,350E-083,505440.8045,5449631.4394
